_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR ;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300041;BROSSETTE;SANITAIRE;3228001;443824;Mit BD mural EUROSTYLE - racc mur;F  GROHE;PU;180,06 €;124,18 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300042;BROSSETTE;SANITAIRE;33390001;438632;Mit BD mural EURODISC - racc mur;F  GROHE;PU;239,96 €;165,49 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300043;BROSSETTE;SANITAIRE;34155000;436505;Mit BD thermos GROHTHERM 1000 - av raccords;F  GROHE;PU;243,63 €;168,02 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300044;BROSSETTE;SANITAIRE;34156000;439841;Mit BD thermos GROHTHERM 1000 - Cosmopolitain;F  GROHE;PU;295,67 €;203,91 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300045;BROSSETTE;SANITAIRE;34174000;436541;Mit BD thermos GROHTHERM 2000 - racc mur;F  GROHE;PU;381,26 €;262,94 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300046;BROSSETTE;SANITAIRE;34185000;436737;Mit BD thermos GROHTHERM 3000 - racc mur;F  GROHE;PU;419,44 €;289,27 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300047;BROSSETTE;SANITAIRE;AA405AA;436238;Mit BD thermos ACTIVE touche éco;IDEAL STANDART;PU;655,84 €;452,30 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300048;BROSSETTE;SANITAIRE;6002100261;449141;Racc. Colonnette ht 70 mm  M15-M 20  (la pièce);EUROBASIC;PU;8,80 €;6,07 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300049;BROSSETTE;SANITAIRE;6002100061;449125;Racc mural M 15 - M 20 (la pièce);EUROBASIC;PU;2,13 €;1,47 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300050;BROSSETTE;SANITAIRE;28593;404587;Barrre de douche TEMPESTA TRIO av Porte savon ;F GROHE;PU;106,15 €;73,21 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300051;BROSSETTE;SANITAIRE;28591;404596;Barrre de douche TEMPESTA DUO ;F GROHE;PU;81,50 €;56,21 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300052;BROSSETTE;SANITAIRE;415580;415580;Barre/douchette ELIOS JET 3 jets;BROSSETTE;PU;33,35 €;23,00 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300053;BROSSETTE;SANITAIRE;418935;418935;Barre/douchette ELIOS TOP 3 jets;BROSSETTE;PU;66,99 €;46,20 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300054;BROSSETTE;SANITAIRE;414320;414320;Chape et crochet EUROBASIC;EUROBASIC;PU;7,38 €;5,09 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300055;BROSSETTE;SANITAIRE;454531;454531;Support fixe mural EUROBASIC;EUROBASIC;PU;6,96 €;4,80 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300056;BROSSETTE;SANITAIRE;454550;454550;Support cavalier EUROBASIC;EUROBASIC;PU;22,79 €;15,72 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300057;BROSSETTE;SANITAIRE;422262;422262;Douchette ELIOS JET  jet pluie- massant;BROSSETTE;PU;15,91 €;10,97 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300058;BROSSETTE;SANITAIRE;422145;422145;Douchette ELIOS TOP- 3 jets et limiteur débit;BROSSETTE;PU;28,48 €;19,64 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300059;BROSSETTE;SANITAIRE;418433;418433;Douchette ELIOS RAIN - 5 jets et limiteur débit;BROSSETTE;PU;52,88 €;36,47 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300060;BROSSETTE;SANITAIRE;431983;431983;Ensemble douche sur applique ELIOS JET;BROSSETTE;PU;29,07 €;20,05 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300061;BROSSETTE;SANITAIRE;428165;428165;Flexible double agrafage 1,50 ml EUROBASIC;EUROBASIC;PU;11,54 €;7,96 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300062;BROSSETTE;SANITAIRE;428166;428166;Flexible double agrafage 2,00 ml EUROBASIC;EUROBASIC;PU;14,17 €;9,77 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300063;BROSSETTE;SANITAIRE;28409000;428579;Flexible dble agrafage 1,50 ml GROHE ROTAFLEX;GROHE;PU;22,48 €;15,50 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300064;BROSSETTE;SANITAIRE;28413000;428525;Flexible dble agrafage 2,00 ml GROHE ROTAFLEX;GROHE;PU;28,42 €;19,60 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300065;BROSSETTE;SANITAIRE;BE30BOWZ56FB;423411;Pare baig Nabis blanc reversible  - 80 * 115 - VS 4 mm Sérigraphié;NABIS;PU;192,30 €;132,62 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300066;BROSSETTE;SANITAIRE;BE30BOWZ011AFB;443140;Pare baig Nabis blanc reversible  - 80 * 115 - VS 4 mm Transparent;NABIS;PU;192,30 €;132,62 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300067;BROSSETTE;SANITAIRE;7451;453351;Receveur  Amalfi  - 1/4 rond 100 extra-plat;ALLIA;PU;481,30 €;331,93 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300068;BROSSETTE;SANITAIRE;7451AG1;453294;Receveur  Amalfi  - 1/4 rond 100 extra-plat;ALLIA;PU;519,29 €;358,13 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300069;BROSSETTE;SANITAIRE;7471;453385;Receveur  Amalfi - 120*80 extra-plat;ALLIA;PU;498,73 €;343,95 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300070;BROSSETTE;SANITAIRE;7471AG1;453482;Receveur  Amalfi - 120*80 extra-plat;ALLIA;PU;518,07 €;357,29 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300071;BROSSETTE;SANITAIRE;7461;453352;Receveur  Amalfi  - 100*80 extra-plat;ALLIA;PU;442,90 €;305,45 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300072;BROSSETTE;SANITAIRE;7461AG1;453427;Receveur  Amalfi  - 100*80 extra-plat;ALLIA;PU;475,43 €;327,88 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300073;BROSSETTE;SANITAIRE;7452;442917;Receveur Prima 2 - 1/4 rond 90*90  extra plat;ALLIA;PU;269,82 €;186,08 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300074;BROSSETTE;SANITAIRE;7322;442848;Receveur Prima 2 - 1/4 rond 80*80  extra plat;ALLIA;PU;204,23 €;140,85 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300075;BROSSETTE;SANITAIRE;7372;442846;Receveur Prima 2 - rect 120*80 extra plat;ALLIA;PU;280,01 €;193,11 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300076;BROSSETTE;SANITAIRE;7362;442844;Receveur Prima 2 - rect 100*80 extra plat;ALLIA;PU;244,18 €;168,40 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300077;BROSSETTE;SANITAIRE;7362AG2;441763;Receveur Prima 2 - rect 100*80 extra plat;ALLIA;PU;285,00 €;196,55 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300078;BROSSETTE;SANITAIRE;7332;442842;Receveur Prima 2 - rect 90*70 extra-plat;ALLIA;PU;207,31 €;142,97 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300079;BROSSETTE;SANITAIRE;7343;426453;Receveur Prima 2 - carré  90*90 extra-plat;ALLIA;PU;205,74 €;141,89 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300080;BROSSETTE;SANITAIRE;7343AG2;424493;Receveur Prima 2 - carré  90*90 extra-plat;ALLIA;PU;238,45 €;164,45 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300081;BROSSETTE;SANITAIRE;7312;442838;Receveur Prima 2 - carré  80*80 extra-plat;ALLIA;PU;153,98 €;106,19 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300082;BROSSETTE;SANITAIRE;7312AG2;441758;Receveur Prima 2 - carré  80*80 extra-plat;ALLIA;PU;173,57 €;119,70 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300083;BROSSETTE;SANITAIRE;7302;442836;Receveur Prima 2 - carré  70*70 extra-plat;ALLIA;PU;87,55 €;60,38 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300084;BROSSETTE;SANITAIRE;7091;448548;Receveur Prima 2 - 1/4 rond 90*90  extra plat surélevé;ALLIA;PU;432,16 €;298,04 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300085;BROSSETTE;SANITAIRE;7081;452287;Receveur Prima 2 - 1/4 rond 80*80  extra plat suréleve;ALLIA;PU;366,94 €;253,06 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300086;BROSSETTE;SANITAIRE;7171;448529;Receveur Prima 2 - carré  90*90 extra-plat surélevé;ALLIA;PU;395,18 €;272,54 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300087;BROSSETTE;SANITAIRE;7161;452280;Receveur Prima 2 - carré  80*80 extra-plat surélevé;ALLIA;PU;201,39 €;138,89 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300088;BROSSETTE;SANITAIRE;7361;448536;Receveur Bastia classique à encastrer - carré  90*90;ALLIA;PU;164,05 €;113,14 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300089;BROSSETTE;SANITAIRE;7141;448485;Receveur Bastia classique à encastrer - carré  80*80;ALLIA;PU;92,74 €;63,96 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300090;BROSSETTE;SANITAIRE;7121;448486;Receveur Bastia classique à encastrer - carré  70*70;ALLIA;PU;94,35 €;65,07 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300091;BROSSETTE;SANITAIRE;7051;448528;Receveur Bastia à poser - 1/4 rond 90*90;ALLIA;PU;347,88 €;239,92 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300092;BROSSETTE;SANITAIRE;7261;448554;Receveur Bastia à poser - carré 90*90;ALLIA;PU;164,05 €;113,14 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300093;BROSSETTE;SANITAIRE;7281;448487;Receveur Bastia à poser - carré 80*80;ALLIA;PU;94,92 €;65,46 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300094;BROSSETTE;SANITAIRE;7251;448488;Receveur Bastia à poser - carré 70*70;ALLIA;PU;92,09 €;63,51 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300095;BROSSETTE;SANITAIRE;P327201;452697;Receveur Ulysse carré 90*90 à encastrer;PORCHER;PU;92,74 €;63,96 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300096;BROSSETTE;SANITAIRE;P327301;452705;Receveur Ulysse carré 80*80 à encastrer;PORCHER;PU;161,11 €;111,11 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300097;BROSSETTE;SANITAIRE;P322501;479785;Receveur Matura - rect 100*80 extra-plat à encastrer;PORCHER;PU;345,10 €;238,00 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300098;BROSSETTE;SANITAIRE;P379301;479790;Receveur Utha - rect 100*80 extra-plat à encastrer;PORCHER;PU;435,00 €;300,00 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300099;BROSSETTE;SANITAIRE;P327401;452665;Receveur Ulysse carré 70*70 à poser;PORCHER;PU;75,01 €;51,73 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300100;BROSSETTE;SANITAIRE;P327501;452673;Receveur Ulysse carré 80*80 à poser;PORCHER;PU;92,60 €;63,86 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300101;BROSSETTE;SANITAIRE;P327601;452681;Receveur Ulysse carré 90*90 à poser;PORCHER;PU;161,11 €;111,11 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300102;BROSSETTE;SANITAIRE;P379201;479740;Receveur Matura - rect 100*80 extra-plat ;PORCHER;PU;418,82 €;288,84 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300103;BROSSETTE;SANITAIRE;P378401;479730;Receveur Anglia  - 1/4 rond  90 * 90  à poser ;PORCHER;PU;435,03 €;300,02 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300104;BROSSETTE;SANITAIRE;P325601;479770;Receveur Ulysse carré 70*70  surélevé;PORCHER;PU;180,58 €;124,54 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300105;BROSSETTE;SANITAIRE;P324601;479760;Receveur Ulysse carré 80*80 surélévé;PORCHER;PU;180,31 €;124,35 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300106;BROSSETTE;SANITAIRE;073735170;457665;Receveur de 90 * 90 à carreler Fundo;WEDI;PU;247,15 €;170,45 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300107;BROSSETTE;SANITAIRE;073735131;419882;Receveur de 100 * 100 à carreler Fundo;WEDI;PU;289,06 €;199,35 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300108;BROSSETTE;SANITAIRE;073735171;457666;Receveur de 120 * 120 à carreler Fundo;WEDI;PU;276,89 €;190,96 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300109;BROSSETTE;SANITAIRE;073735175;457667;Receveur de 150 * 150 à carreler Fundo;WEDI;PU;305,44 €;210,65 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300110;BROSSETTE;SANITAIRE;037323000;457670;Réhausse pour receveur 90 - Fundo;WEDI;PU;79,24 €;54,65 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300111;BROSSETTE;SANITAIRE;037324131;419883;Réhausse pour receveur 100 - Fundo;WEDI;PU;102,60 €;70,76 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300112;BROSSETTE;SANITAIRE;037324000;457671;Réhausse pour receveur 120 - Fundo;WEDI;PU;103,12 €;71,12 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300113;BROSSETTE;SANITAIRE;037324175;457672;Réhausse pour receveur 150 - Fundo;WEDI;PU;170,90 €;117,86 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300114;BROSSETTE;SANITAIRE;073796000;457673;Kit d'étanchéité  - Fundo;WEDI;PU;76,26 €;52,59 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300115;BROSSETTE;SANITAIRE;0071270300;442900;Reveceur Verseau - carré 70*70 à encastrer;VERSEAU;PU;69,54 €;47,96 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300116;BROSSETTE;SANITAIRE;0071470301;442901;Reveceur Verseau - carré 80*80 à encastrer;VERSEAU;PU;93,06 €;64,18 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300117;BROSSETTE;SANITAIRE;0071970302;442902;Reveceur Verseau - carré 90*90 à encastrer;VERSEAU;PU;150,52 €;103,81 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300118;BROSSETTE;SANITAIRE;0070970303;441959;Reveceur Verseau - d'angle  90*90 à encastrer;VERSEAU;PU;209,80 €;144,69 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300119;BROSSETTE;SANITAIRE;0072570B00;442995;Reveceur Verseau - carré 70*70 à poser;VERSEAU;PU;69,54 €;47,96 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300120;BROSSETTE;SANITAIRE;0072870B00;442996;Reveceur Verseau - carré 80*80 à poser;VERSEAU;PU;93,06 €;64,18 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300121;BROSSETTE;SANITAIRE;0072970B00;442997;Reveceur Verseau - carré 90*90 à poser;VERSEAU;PU;150,52 €;103,81 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300122;BROSSETTE;SANITAIRE;0072070B00;442998;Reveceur Verseau - rect  100*80 à poser;VERSEAU;PU;212,09 €;146,27 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300123;BROSSETTE;SANITAIRE;0074270B00;442999;Reveceur Verseau - rect  120*70 à poser;VERSEAU;PU;223,47 €;154,12 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300124;BROSSETTE;SANITAIRE;0073970B00;441958;Reveceur Verseau - d'angle 90*90 à poser;VERSEAU;PU;209,80 €;144,69 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300125;BROSSETTE;SANITAIRE;150620;451805;Pieds règlables de 133 à 169 mm 5 le jeu de 4);;PU;19,56 €;13,49 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300126;BROSSETTE;SANITAIRE;0205312;437946;Bonde de douche 60 mm - siphoïde horiz turboflow;NICOLL;PU;5,57 €;3,84 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300127;BROSSETTE;SANITAIRE;0205049;409792;Bonde de douche 60 mm - siphoïde vertical;NICOLL;PU;6,68 €;4,61 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300128;BROSSETTE;SANITAIRE;0205243;407890;Bonde de douche 60 mm - turboflow vertical;NICOLL;PU;21,92 €;15,12 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300129;BROSSETTE;SANITAIRE;0205313;437955;Bonde de douche 90 mm - siphoïde horiz;NICOLL;PU;15,75 €;10,86 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300130;BROSSETTE;SANITAIRE;0202151;409787;Bonde de douche 90 mm - siphoïde vertical;NICOLL;PU;16,65 €;11,48 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300131;BROSSETTE;SANITAIRE;0205240;407888;Bonde de douche 90 mm - turboflow vertical;NICOLL;PU;22,39 €;15,44 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300132;BROSSETTE;SANITAIRE;46020000000;453734;Siphon sol inox 100V;;PU;31,31 €;21,59 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300133;BROSSETTE;SANITAIRE;230212;409210;Bonde douche à carreler 180*200 - horiz;;PU;200,93 €;138,57 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
